zip_code,cluster
00010,gialli
00010,rossi
00010,verde_ftth
00012,gialli
00013,gialli
00013,rossi
00015,gialli
00017,verde_ftth
00018,verde_ftth
00019,gialli
00020,gialli
00020,rossi
00020,verde_ftth
00020,verde_fwa
00021,gialli
00022,gialli
00023,verde_fwa
00024,gialli
00025,rossi
00026,rossi
00027,gialli
00028,verde_fwa
00029,gialli
00030,gialli
00030,rossi
00030,verde_ftth
00030,verde_fwa
00031,gialli
00032,rossi
00033,verde_ftth
00034,verde_fwa
00035,verde_fwa
00036,verde_ftth
00037,verde_fwa
00038,rossi
00039,verde_ftth
00040,rossi
00040,verde_ftth
00041,verde_ftth
00042,gialli
00043,verde_ftth
00044,gialli
00045,verde_ftth
00046,gialli
00047,gialli
00048,rossi
00049,gialli
00051,verde_fwa
00052,gialli
00053,gialli
00054,gialli
00055,verde_fwa
00058,gialli
00059,gialli
00060,gialli
00060,rossi
00060,verde_ftth
00060,verde_fwa
00061,verde_ftth
00062,rossi
00063,verde_ftth
00065,rossi
00066,rossi
00067,gialli
00068,rossi
00069,verde_ftth
00071,gialli
00072,verde_ftth
00073,verde_ftth
00074,verde_ftth
00075,verde_ftth
00076,rossi
00077,verde_ftth
00078,gialli
00079,verde_ftth
00118,gialli
00119,gialli
00121,gialli
00122,gialli
00123,gialli
00124,gialli
00125,gialli
00126,gialli
00127,gialli
00128,gialli
00131,gialli
00132,gialli
00133,gialli
00134,gialli
00135,gialli
00136,gialli
00137,gialli
00138,gialli
00139,gialli
00141,gialli
00142,gialli
00143,gialli
00144,gialli
00145,gialli
00146,gialli
00147,gialli
00148,gialli
00149,gialli
00151,gialli
00152,gialli
00153,gialli
00154,gialli
00155,gialli
00156,gialli
00157,gialli
00158,gialli
00159,gialli
00161,gialli
00162,gialli
00163,gialli
00164,gialli
00165,gialli
00166,gialli
00167,gialli
00168,gialli
00169,gialli
00171,gialli
00172,gialli
00173,gialli
00174,gialli
00175,gialli
00176,gialli
00177,gialli
00178,gialli
00179,gialli
00181,gialli
00182,gialli
00183,gialli
00184,gialli
00185,gialli
00186,gialli
00187,gialli
00188,gialli
00189,gialli
00191,gialli
00192,gialli
00193,gialli
00195,gialli
00196,gialli
00197,gialli
00198,gialli
00199,gialli
01010,gialli
01010,rossi
01010,verde_ftth
01010,verde_fwa
01011,verde_fwa
01012,verde_ftth
01014,gialli
01015,verde_ftth
01016,rossi
01017,gialli
01018,verde_fwa
01019,verde_fwa
01020,gialli
01020,rossi
01020,verde_ftth
01021,rossi
01022,rossi
01023,rossi
01024,gialli
01025,verde_ftth
01027,verde_fwa
01028,gialli
01030,gialli
01030,rossi
01030,verde_ftth
01030,verde_fwa
01032,verde_ftth
01033,verde_ftth
01034,rossi
01035,gialli
01036,rossi
01037,verde_ftth
01038,verde_ftth
01039,verde_fwa
01100,gialli
02010,gialli
02010,rossi
02010,verde_ftth
02010,verde_fwa
02011,rossi
02012,rossi
02013,verde_ftth
02014,verde_fwa
02015,verde_fwa
02016,rossi
02018,verde_fwa
02019,rossi
02020,rossi
02020,verde_ftth
02021,verde_ftth
02022,verde_ftth
02023,rossi
02024,verde_ftth
02025,rossi
02026,rossi
02030,gialli
02030,rossi
02030,verde_ftth
02030,verde_fwa
02031,gialli
02032,verde_ftth
02033,verde_ftth
02034,gialli
02035,rossi
02037,verde_fwa
02038,verde_ftth
02039,verde_fwa
02040,gialli
02040,rossi
02040,verde_ftth
02040,verde_fwa
02041,verde_ftth
02042,verde_ftth
02043,rossi
02044,verde_ftth
02045,rossi
02046,verde_ftth
02047,rossi
02048,gialli
02049,verde_ftth
02100,gialli
03010,gialli
03010,rossi
03010,verde_ftth
03010,verde_fwa
03011,verde_ftth
03012,gialli
03013,verde_fwa
03014,verde_fwa
03016,gialli
03017,rossi
03018,verde_fwa
03019,gialli
03020,gialli
03020,rossi
03020,verde_ftth
03020,verde_fwa
03021,verde_ftth
03022,verde_ftth
03023,gialli
03024,verde_ftth
03025,verde_ftth
03026,rossi
03027,verde_ftth
03028,gialli
03029,rossi
03030,gialli
03030,rossi
03030,verde_ftth
03030,verde_fwa
03031,verde_fwa
03032,gialli
03033,gialli
03034,gialli
03035,verde_ftth
03036,verde_ftth
03037,rossi
03038,rossi
03039,verde_ftth
03040,gialli
03040,rossi
03040,verde_ftth
03040,verde_fwa
03041,gialli
03042,verde_ftth
03043,verde_ftth
03044,gialli
03045,verde_ftth
03046,gialli
03047,verde_ftth
03048,verde_ftth
03049,verde_fwa
03100,gialli
04010,gialli
04010,rossi
04010,verde_ftth
04010,verde_fwa
04011,gialli
04012,gialli
04013,rossi
04014,verde_fwa
04015,verde_fwa
04016,rossi
04017,verde_fwa
04018,verde_fwa
04019,gialli
04020,rossi
04020,verde_ftth
04020,verde_fwa
04021,verde_ftth
04022,gialli
04023,verde_fwa
04024,verde_fwa
04025,verde_ftth
04026,verde_fwa
04027,rossi
04029,verde_ftth
04100,gialli
05010,verde_ftth
05011,verde_ftth
05012,verde_ftth
05013,verde_ftth
05014,verde_ftth
05015,verde_ftth
05016,verde_ftth
05017,gialli
05018,verde_ftth
05020,verde_ftth
05021,verde_ftth
05022,gialli
05023,verde_ftth
05024,verde_ftth
05025,verde_ftth
05026,verde_ftth
05028,verde_ftth
05029,verde_ftth
05030,gialli
05030,verde_ftth
05031,verde_ftth
05032,gialli
05034,verde_ftth
05035,gialli
05039,gialli
05100,gialli
06010,gialli
06012,verde_fwa
06014,verde_ftth
06016,verde_fwa
06019,verde_fwa
06021,verde_ftth
06022,verde_ftth
06023,verde_ftth
06024,verde_ftth
06025,verde_ftth
06026,verde_ftth
06027,verde_ftth
